project_type,client_industry,estimated_timeline_months,team_size,complexity_score,revision_count,developer_experience_level,final_billed_amount
Web Application,Finance,1,10,3,3,3,1488822.72
DevOps Automation,Startup,4,2,1,0,5,709130.59
Web Application,Retail,7,3,5,3,2,3028635.67
Mobile Application,Education,1,3,4,4,1,431748.09
Legacy System Modernization,Education,1,15,4,8,1,2681963.34
Web Application,Retail,8,7,3,2,3,7114839.85
IoT System,Startup,16,8,4,2,1,22756182.7
CRM System,Retail,13,12,5,4,4,32584314.34
Business Intelligence Dashboard,Startup,18,2,3,9,4,4013330.95
Legacy System Modernization,Healthcare,10,4,1,5,2,6454304.23
Data Engineering Pipeline,Retail,12,3,2,2,3,4301911.33
DevOps Automation,Startup,1,9,1,0,3,753686.44
IoT System,Retail,10,10,5,9,1,25282637.14
IoT System,Retail,9,14,3,7,5,23228009.77
Web Application,Startup,3,3,1,0,5,448153.59
E-commerce Platform,Startup,9,3,3,1,5,3330829.53
Web Application,Finance,10,11,4,2,2,21511802.69
Mobile Application,Retail,16,10,2,5,3,19696066.28
Data Engineering Pipeline,Education,18,15,5,3,1,55485918.06
AI/ML Solution,Retail,14,5,1,3,2,11528346.61
Legacy System Modernization,Retail,3,6,2,8,4,2245783.89
Web Application,Startup,2,14,5,5,4,3947315.94
CRM System,Retail,1,12,5,1,4,2861919.41
Cloud Migration,Retail,18,10,4,6,3,36549524.11
DevOps Automation,Education,9,7,3,2,4,8344279.13
Blockchain Solution,Startup,13,11,3,8,5,24879185.57
Web Application,Retail,2,13,2,5,4,2780512.38
CRM System,Healthcare,7,10,4,7,2,16335535.54
Legacy System Modernization,Finance,16,10,5,0,4,36012909.52
CRM System,Education,15,8,4,1,5,19812768.56
DevOps Automation,Retail,11,15,4,5,4,25723018.3
AI/ML Solution,Healthcare,1,13,2,2,1,2208019.29
CRM System,Retail,7,11,3,0,5,13504627.14
Cloud Migration,Retail,8,10,4,5,3,15188957.95
CRM System,Startup,10,6,4,4,4,8445363.9
CRM System,Startup,5,6,4,8,2,4889861.41
CRM System,Startup,9,13,1,5,4,13706585.7
Business Intelligence Dashboard,Healthcare,1,9,4,4,2,1717523.89
Business Intelligence Dashboard,Retail,2,11,4,0,1,6299041.57
AI/ML Solution,Finance,14,5,5,0,3,21634763.74
Web Application,Education,10,10,1,10,5,9780526.62
CRM System,Startup,9,8,4,0,5,8389030.22
SaaS Product,Startup,10,8,4,6,3,27263209.49
Data Engineering Pipeline,Retail,6,14,2,5,1,12811863.89
SaaS Product,Retail,17,4,2,4,1,10686115.62
Web Application,Healthcare,6,5,1,3,4,4003499.1
AI/ML Solution,Healthcare,4,8,5,10,1,11520093.46
E-commerce Platform,Startup,3,12,1,10,4,2917113.37
E-commerce Platform,Retail,18,12,1,7,2,16890653.51
ERP System,Finance,4,15,2,10,3,16409085.65
SaaS Product,Education,8,6,2,7,2,7971485.06
Web Application,Retail,17,13,5,4,2,41729473.04
Web Application,Retail,5,4,4,3,2,2316249.2
Cybersecurity Implementation,Healthcare,13,2,5,1,2,7946361.6
Mobile Application,Education,1,8,4,6,5,1215447.3
Blockchain Solution,Startup,13,7,3,4,1,15486653.23
Legacy System Modernization,Retail,4,11,2,2,3,5992788.53
Cybersecurity Implementation,Startup,14,8,3,8,3,16884269.4
Cloud Migration,Retail,3,15,3,8,2,8595836.84
Business Intelligence Dashboard,Startup,5,3,2,10,3,1707935.86
Business Intelligence Dashboard,Education,7,14,3,10,4,14779004.31
Mobile Application,Healthcare,1,13,1,9,3,1963993.89
DevOps Automation,Education,12,5,4,10,2,11281503.05
DevOps Automation,Finance,11,3,5,7,3,9025353.99
AI/ML Solution,Healthcare,8,9,2,0,1,16949823.03
IoT System,Education,6,8,1,2,2,5845879.73
Mobile Application,Finance,2,2,5,1,5,770800.15
Blockchain Solution,Retail,14,3,5,3,1,11521411.4
Web Application,Retail,1,3,5,1,3,512655.93
DevOps Automation,Startup,10,5,3,10,5,6794599.15
Blockchain Solution,Healthcare,16,4,3,7,1,14551967.79
CRM System,Retail,4,2,3,0,4,1215358.45
SaaS Product,Healthcare,11,13,3,3,1,31289643.0
SaaS Product,Retail,16,15,1,4,5,28831317.29
IoT System,Startup,1,3,3,9,4,525073.27
Data Engineering Pipeline,Education,16,12,2,3,3,25862564.09
Web Application,Startup,9,10,5,7,2,8026960.98
Legacy System Modernization,Finance,9,14,1,1,3,21442684.43
Legacy System Modernization,Retail,9,2,3,8,2,3159559.17
Cloud Migration,Finance,17,10,5,1,2,60372683.3
Legacy System Modernization,Finance,12,8,1,1,5,13954270.05
CRM System,Healthcare,13,3,5,1,4,10182582.78
CRM System,Retail,8,3,1,9,4,3585169.41
SaaS Product,Finance,16,6,4,7,1,25053700.09
Mobile Application,Education,18,14,1,2,3,19080196.13
IoT System,Finance,1,6,3,9,5,1831807.08
AI/ML Solution,Education,1,5,5,10,3,1425777.0
Cloud Migration,Healthcare,12,13,5,9,1,51096816.75
DevOps Automation,Finance,6,11,5,7,1,13679891.85
Blockchain Solution,Startup,9,11,2,6,5,14482041.2
Mobile Application,Healthcare,5,14,2,9,1,12066525.99
DevOps Automation,Education,16,13,3,3,5,19598307.09
Mobile Application,Healthcare,18,4,4,6,1,10554098.48
Mobile Application,Finance,17,5,2,10,4,14407545.42
Mobile Application,Retail,18,11,1,7,5,19690853.69
SaaS Product,Retail,1,5,3,5,4,897238.89
Legacy System Modernization,Education,8,3,4,5,4,3513081.9
IoT System,Education,3,6,1,2,5,2516613.25
AI/ML Solution,Retail,5,6,5,4,3,8961638.67
Legacy System Modernization,Education,8,6,2,9,2,17085189.72
Mobile Application,Healthcare,18,12,1,1,1,25712351.81
ERP System,Startup,18,12,4,4,1,38576663.64
Data Engineering Pipeline,Startup,1,11,3,4,3,3740926.45
DevOps Automation,Healthcare,15,2,1,6,2,9895199.43
Web Application,Startup,18,7,3,3,3,11792890.91
Cybersecurity Implementation,Finance,7,12,5,10,2,33050062.2
Legacy System Modernization,Healthcare,16,3,4,5,5,11295096.78
Blockchain Solution,Education,16,8,4,8,5,20285125.48
SaaS Product,Healthcare,15,5,2,3,4,10923060.21
Cloud Migration,Retail,6,6,4,10,4,5434537.01
Business Intelligence Dashboard,Education,9,6,1,5,5,2995337.87
AI/ML Solution,Retail,7,6,1,8,4,4697237.29
Web Application,Education,14,3,1,9,5,4527429.9
CRM System,Startup,11,6,5,0,3,9064189.12
E-commerce Platform,Healthcare,16,4,4,7,1,11526758.13
ERP System,Finance,6,5,4,0,5,9090378.23
Business Intelligence Dashboard,Education,16,14,1,3,5,17608672.48
Cybersecurity Implementation,Education,16,3,2,2,5,8125066.21
Web Application,Retail,12,5,2,3,4,6387101.06
Business Intelligence Dashboard,Startup,17,14,4,6,4,35968234.67
Web Application,Retail,5,10,4,8,4,7863356.72
Blockchain Solution,Retail,13,9,3,8,4,25178939.68
ERP System,Startup,8,14,4,9,3,15185120.9
Cybersecurity Implementation,Finance,5,15,1,0,5,8996262.48
CRM System,Retail,12,12,5,9,3,82967584.69
Mobile Application,Retail,9,13,4,0,4,19599998.36
DevOps Automation,Education,3,4,4,8,3,1722920.13
CRM System,Startup,3,2,1,3,5,591744.08
Mobile Application,Healthcare,1,2,3,2,5,318275.31
E-commerce Platform,Finance,18,7,4,8,4,73023606.39
SaaS Product,Finance,12,4,2,4,5,7577994.66
IoT System,Startup,9,5,2,5,3,5919394.64
IoT System,Education,9,2,2,0,2,1982065.88
IoT System,Education,18,9,5,0,5,32572196.79
AI/ML Solution,Startup,18,2,5,6,3,8370152.88
Legacy System Modernization,Education,7,6,4,9,3,8326757.12
Data Engineering Pipeline,Finance,4,7,4,7,3,5594670.41
Cloud Migration,Finance,13,3,4,10,5,11370262.78
Cloud Migration,Healthcare,17,8,5,7,2,41316681.97
Legacy System Modernization,Startup,2,8,4,6,4,2629732.37
IoT System,Retail,14,2,1,10,4,4590235.81
DevOps Automation,Retail,3,5,3,8,5,2264904.27
Cybersecurity Implementation,Healthcare,5,13,2,0,5,9739551.0
ERP System,Healthcare,14,14,2,1,1,27763073.97
Cybersecurity Implementation,Education,3,5,1,2,2,2028362.99
ERP System,Healthcare,7,6,4,4,3,12454571.08
Cybersecurity Implementation,Healthcare,18,2,5,3,3,8216430.89
Data Engineering Pipeline,Retail,13,2,4,3,4,4733863.91
AI/ML Solution,Education,10,8,4,7,5,17409674.03
AI/ML Solution,Healthcare,13,10,2,7,2,27761600.75
IoT System,Healthcare,16,2,2,10,4,5144257.9
E-commerce Platform,Education,9,3,5,6,2,4039754.7
Mobile Application,Startup,2,7,2,0,5,1378285.01
E-commerce Platform,Education,5,7,4,9,3,6136244.58
Business Intelligence Dashboard,Retail,17,3,1,3,1,5057569.66
AI/ML Solution,Startup,4,10,5,0,2,20715112.19
AI/ML Solution,Finance,17,5,1,10,3,35009364.69
CRM System,Education,9,14,4,4,2,22712750.65
CRM System,Retail,2,8,5,2,2,3456236.81
Mobile Application,Startup,18,7,1,2,2,24205559.14
Blockchain Solution,Education,11,12,5,3,5,26196920.94
Business Intelligence Dashboard,Healthcare,13,14,4,1,4,84173053.96
E-commerce Platform,Education,8,12,5,6,2,30074837.87
DevOps Automation,Finance,1,4,4,3,5,885381.08
CRM System,Education,17,9,5,4,1,34577038.01
DevOps Automation,Startup,12,8,5,1,4,14528020.64
Web Application,Startup,4,10,2,5,5,3298943.58
CRM System,Education,13,4,4,8,1,8705936.15
Data Engineering Pipeline,Startup,9,2,3,7,4,2890239.49
Blockchain Solution,Healthcare,7,3,5,7,5,10396923.49
Business Intelligence Dashboard,Education,5,13,1,1,1,5316485.57
SaaS Product,Healthcare,5,12,2,3,5,12208231.17
Mobile Application,Healthcare,17,13,2,7,1,36243761.11
Web Application,Retail,9,2,5,10,2,3807443.1
SaaS Product,Education,6,12,3,0,2,11150329.18
Business Intelligence Dashboard,Startup,16,6,2,7,4,11154151.34
E-commerce Platform,Healthcare,2,11,4,2,1,4747358.75
IoT System,Retail,10,15,5,7,2,37237946.68
Data Engineering Pipeline,Education,16,3,5,5,4,9920639.64
Business Intelligence Dashboard,Education,5,4,3,6,3,2616881.3
Data Engineering Pipeline,Finance,15,9,4,1,2,36321195.8
Legacy System Modernization,Finance,13,11,4,0,2,32176352.58
Data Engineering Pipeline,Healthcare,13,15,3,5,5,52534262.01
DevOps Automation,Finance,13,6,1,2,3,12780747.69
Legacy System Modernization,Healthcare,15,5,4,3,1,13744554.77
Cybersecurity Implementation,Startup,14,6,1,8,4,10394183.52
SaaS Product,Healthcare,8,11,1,2,3,28580677.27
IoT System,Finance,11,7,5,1,1,30297869.75
Legacy System Modernization,Startup,18,13,5,1,2,31288216.12
E-commerce Platform,Finance,4,8,2,1,4,5631521.71
Web Application,Healthcare,10,15,5,5,4,33674226.28
Business Intelligence Dashboard,Retail,1,14,4,1,3,2242216.06
ERP System,Education,5,10,4,10,5,11148581.94
Web Application,Finance,13,2,1,6,1,3163128.61
Cybersecurity Implementation,Healthcare,1,5,4,6,3,1540738.35
Web Application,Startup,8,13,5,6,5,9240793.51
AI/ML Solution,Finance,3,13,5,1,5,15678479.89
E-commerce Platform,Finance,3,10,5,6,5,8886048.67
ERP System,Education,7,6,3,9,4,8818322.25
Legacy System Modernization,Healthcare,4,9,4,7,1,19269510.55
Legacy System Modernization,Retail,3,13,2,7,1,5227784.23
Legacy System Modernization,Startup,15,2,4,1,3,2818963.8
Cybersecurity Implementation,Healthcare,8,5,4,4,2,26736130.58
DevOps Automation,Startup,3,13,3,5,3,11551250.08
SaaS Product,Finance,7,15,4,8,1,28876699.83
Business Intelligence Dashboard,Education,18,13,1,5,4,16603103.14
Blockchain Solution,Education,11,10,5,9,3,35269261.11
Cloud Migration,Retail,11,14,5,5,2,29911951.65
SaaS Product,Education,17,2,3,9,3,5333517.08
Cybersecurity Implementation,Finance,6,2,5,9,5,2943530.3
Mobile Application,Retail,8,5,1,5,2,9469853.85
E-commerce Platform,Healthcare,1,15,3,8,5,3110056.03
Business Intelligence Dashboard,Education,10,4,2,9,4,4950916.29
SaaS Product,Retail,3,8,5,6,1,6154211.31
IoT System,Finance,4,12,4,0,3,13129049.67
Cybersecurity Implementation,Startup,11,4,1,0,3,3409296.07
AI/ML Solution,Startup,15,2,1,3,5,2686127.41
Cloud Migration,Finance,1,13,5,1,5,3748456.17
AI/ML Solution,Finance,9,12,2,2,1,25087633.29
Legacy System Modernization,Startup,11,11,4,6,3,15689888.83
Cloud Migration,Retail,13,3,2,6,1,4787856.28
SaaS Product,Startup,16,11,2,2,5,15756476.04
IoT System,Finance,4,14,5,1,5,20064108.88
Legacy System Modernization,Education,1,5,4,0,2,567235.64
Blockchain Solution,Healthcare,13,2,5,8,5,18248767.2
E-commerce Platform,Education,1,2,5,9,5,430320.03
Mobile Application,Education,5,13,1,2,1,5866072.92
Business Intelligence Dashboard,Finance,5,15,5,8,2,21400650.09
DevOps Automation,Startup,14,9,3,3,2,12987263.88
AI/ML Solution,Retail,14,8,4,9,3,31656795.33
AI/ML Solution,Education,8,15,1,5,4,15974245.19
Legacy System Modernization,Startup,4,9,4,6,3,5559984.78
Data Engineering Pipeline,Retail,7,14,1,9,3,12746890.16
Cloud Migration,Education,15,5,3,5,3,8316918.09
CRM System,Retail,4,7,5,0,2,6713384.68
Blockchain Solution,Startup,9,14,1,5,1,17198565.68
Business Intelligence Dashboard,Healthcare,13,4,1,10,5,7459521.62
Cloud Migration,Startup,14,12,1,5,2,18064617.48
Data Engineering Pipeline,Finance,14,14,3,4,5,34680045.19
Web Application,Retail,10,9,4,2,5,9935858.24
Cloud Migration,Healthcare,16,5,3,9,4,19615489.73
DevOps Automation,Retail,5,4,1,2,3,2243747.13
Business Intelligence Dashboard,Retail,6,5,1,10,4,3163092.7
SaaS Product,Education,2,7,5,9,3,3232584.22
Blockchain Solution,Finance,13,12,3,6,2,47060993.23
Data Engineering Pipeline,Retail,13,8,3,7,5,14197007.0
Web Application,Startup,18,8,2,2,4,11884438.4
E-commerce Platform,Startup,1,15,4,2,2,4261027.34
ERP System,Education,8,13,2,6,2,12580782.59
Data Engineering Pipeline,Finance,16,5,2,9,3,19077391.27
ERP System,Finance,2,9,4,6,5,5981757.1
Business Intelligence Dashboard,Startup,8,8,5,10,3,11162964.03
AI/ML Solution,Healthcare,6,3,5,8,3,5336711.25
Data Engineering Pipeline,Education,16,14,4,5,2,51157392.52
E-commerce Platform,Education,11,9,4,6,3,15952666.91
Mobile Application,Startup,17,10,3,10,1,20142635.0
Legacy System Modernization,Startup,11,6,3,9,5,20917809.67
ERP System,Healthcare,8,5,3,0,3,8389972.25
Legacy System Modernization,Healthcare,4,5,3,6,3,3892751.94
DevOps Automation,Finance,11,14,1,1,4,24009610.23
Mobile Application,Education,8,5,1,6,5,2912877.84
Legacy System Modernization,Education,9,7,5,2,5,12155643.39
Cybersecurity Implementation,Startup,2,12,1,8,3,2254195.87
Cybersecurity Implementation,Finance,16,5,1,4,1,11399824.14
Web Application,Education,6,8,3,6,4,3741827.97
Blockchain Solution,Finance,8,8,3,7,1,18338130.13
AI/ML Solution,Finance,14,6,4,1,3,25258880.98
Business Intelligence Dashboard,Startup,16,14,3,10,5,57677346.9
Data Engineering Pipeline,Finance,12,6,4,0,5,17281177.35
CRM System,Healthcare,5,11,4,6,1,13583369.53
DevOps Automation,Healthcare,18,9,1,5,2,22736976.36
ERP System,Retail,9,8,3,5,3,12156473.61
Business Intelligence Dashboard,Startup,2,15,1,1,5,1504732.25
Mobile Application,Retail,12,8,3,2,2,12986734.89
IoT System,Healthcare,2,7,1,3,5,2364349.21
Cybersecurity Implementation,Retail,10,8,1,2,5,9153258.16
IoT System,Startup,1,8,1,1,2,991057.75
E-commerce Platform,Startup,4,11,5,2,1,5517865.7
DevOps Automation,Finance,12,15,1,5,3,25124915.45
CRM System,Education,9,3,2,8,2,2611443.23
Data Engineering Pipeline,Finance,4,15,2,3,2,13573300.8
Web Application,Startup,9,11,2,5,5,8858737.57
CRM System,Healthcare,6,3,4,0,2,3766730.28
DevOps Automation,Healthcare,1,15,1,5,3,2384069.72
CRM System,Finance,10,11,2,2,1,44802551.27
DevOps Automation,Startup,14,8,4,8,1,41980957.93
DevOps Automation,Healthcare,18,15,2,3,1,42409489.51
Cloud Migration,Startup,6,11,3,6,3,20279855.23
ERP System,Healthcare,18,8,5,3,5,102653662.53
SaaS Product,Startup,16,8,1,10,3,16976478.53
IoT System,Retail,15,6,5,5,2,24109314.81
SaaS Product,Startup,16,2,5,6,4,6570143.03
SaaS Product,Startup,8,15,3,1,4,14744304.86
SaaS Product,Finance,13,3,3,9,4,9091606.89
Legacy System Modernization,Retail,11,14,3,5,1,27626263.04
Cybersecurity Implementation,Education,7,10,4,7,3,15902157.96
Cloud Migration,Finance,17,9,2,5,3,35892610.18
Data Engineering Pipeline,Education,18,9,1,1,1,14978150.83
Cloud Migration,Healthcare,13,11,3,3,2,32277717.71
AI/ML Solution,Education,15,2,1,0,4,4005584.47
AI/ML Solution,Startup,1,7,1,6,4,915233.71
Legacy System Modernization,Education,16,10,1,7,1,20035828.42
Cybersecurity Implementation,Finance,5,9,3,9,4,27472635.02
CRM System,Finance,3,4,3,1,5,2621098.28
ERP System,Education,10,5,2,9,3,6666807.9
Cybersecurity Implementation,Finance,5,4,3,4,4,3314007.22
Legacy System Modernization,Finance,7,7,3,10,4,13231954.87
DevOps Automation,Education,14,15,1,7,5,22849535.06
Mobile Application,Retail,3,10,2,10,2,4591896.51
ERP System,Retail,13,9,5,7,2,35717333.6
Blockchain Solution,Healthcare,13,14,3,4,5,43637661.97
IoT System,Finance,10,11,3,7,2,29345462.89
ERP System,Education,2,5,5,5,1,1449508.45
Legacy System Modernization,Finance,6,3,1,4,5,2915556.75
DevOps Automation,Startup,8,14,2,10,3,13829038.1
DevOps Automation,Finance,4,9,1,3,3,5960444.78
Web Application,Finance,12,9,4,4,3,21140562.62
SaaS Product,Retail,15,15,3,3,4,39889420.13
Cybersecurity Implementation,Education,8,13,4,0,5,17405037.19
DevOps Automation,Finance,7,12,3,2,5,16322688.22
AI/ML Solution,Retail,14,7,4,7,2,16652077.25
SaaS Product,Healthcare,14,15,5,6,5,51193913.55
Data Engineering Pipeline,Retail,13,9,3,6,5,17928029.42
Mobile Application,Retail,1,10,3,10,2,1501482.1
Legacy System Modernization,Retail,1,14,4,2,5,2155928.42
IoT System,Finance,4,2,2,8,5,1958663.88
Cybersecurity Implementation,Finance,10,10,4,5,1,70593566.31
Business Intelligence Dashboard,Healthcare,3,3,3,7,2,1119290.76
AI/ML Solution,Startup,9,15,3,7,1,25910267.44
E-commerce Platform,Startup,3,14,2,2,4,4081230.85
Blockchain Solution,Startup,6,2,1,3,2,1078923.64
CRM System,Healthcare,6,9,2,5,5,6131206.84
DevOps Automation,Startup,12,9,1,1,5,9773662.56
Business Intelligence Dashboard,Startup,1,12,3,10,1,1751867.26
DevOps Automation,Retail,16,5,5,6,1,17655786.16
ERP System,Finance,5,9,5,1,4,13779752.17
AI/ML Solution,Finance,9,8,4,10,4,58082619.85
ERP System,Retail,10,14,2,4,5,18591857.52
Web Application,Retail,13,3,2,3,3,4669184.84
ERP System,Retail,15,6,5,8,4,21742024.81
Web Application,Finance,12,15,1,1,5,56513898.48
Blockchain Solution,Startup,5,11,2,6,4,8855891.17
Legacy System Modernization,Retail,5,5,1,6,2,3764783.28
Web Application,Healthcare,18,4,1,6,1,6879151.72
Business Intelligence Dashboard,Retail,12,2,1,0,5,2457193.59
SaaS Product,Education,3,6,1,7,4,3463980.07
DevOps Automation,Retail,7,11,4,1,1,13665950.27
CRM System,Finance,17,9,4,4,3,34502151.05
SaaS Product,Retail,18,13,5,1,4,54352313.47
IoT System,Education,1,10,4,4,5,1860303.07
Legacy System Modernization,Healthcare,5,8,2,6,2,5576416.34
ERP System,Startup,2,13,4,5,1,5136006.34
E-commerce Platform,Retail,1,12,2,4,1,1517986.74
IoT System,Education,7,2,2,3,2,2274353.39
AI/ML Solution,Education,11,2,1,7,5,2309696.22
Web Application,Healthcare,11,2,5,10,3,5391911.31
DevOps Automation,Finance,18,3,1,7,2,10770375.4
Mobile Application,Retail,17,2,1,0,3,3331261.14
Cybersecurity Implementation,Education,2,5,4,9,5,2107886.68
Business Intelligence Dashboard,Healthcare,7,11,4,1,4,14717314.33
CRM System,Startup,7,10,2,2,4,7577402.13
Cloud Migration,Education,10,13,4,0,5,14739779.56
Business Intelligence Dashboard,Healthcare,3,5,4,10,3,4011355.05
Blockchain Solution,Finance,12,14,3,2,2,33339757.84
Mobile Application,Finance,3,5,2,9,5,2277791.57
E-commerce Platform,Education,11,8,2,7,5,10903210.3
Cybersecurity Implementation,Education,12,15,3,3,4,30827026.28
Mobile Application,Retail,4,12,2,6,2,5860206.61
ERP System,Healthcare,16,10,5,6,4,53925935.34
Web Application,Education,18,8,5,10,3,24475357.11
Legacy System Modernization,Retail,4,2,3,4,3,1004714.82
CRM System,Retail,6,2,4,0,1,2227843.92
Data Engineering Pipeline,Education,15,5,5,9,5,13123660.07
Web Application,Finance,1,5,3,3,2,1040911.96
Data Engineering Pipeline,Healthcare,3,2,5,6,2,2094073.81
IoT System,Healthcare,5,7,1,4,4,6346934.83
Legacy System Modernization,Finance,17,11,3,1,4,33582093.67
Cybersecurity Implementation,Education,14,3,2,7,2,6682944.97
DevOps Automation,Healthcare,9,12,5,1,4,28818904.9
Cloud Migration,Education,3,6,2,10,1,3010641.83
AI/ML Solution,Education,13,9,3,7,5,40148024.66
SaaS Product,Retail,3,4,5,10,1,2422637.19
Legacy System Modernization,Finance,11,10,2,1,3,19161322.42
Web Application,Education,2,8,4,10,2,2648954.0
CRM System,Startup,15,10,4,4,1,51123999.76
SaaS Product,Finance,13,2,1,3,1,3572472.82
Blockchain Solution,Healthcare,16,6,3,0,4,24637135.67
Blockchain Solution,Retail,18,13,2,7,4,36944724.29
Mobile Application,Healthcare,7,14,1,9,4,33055537.2
SaaS Product,Healthcare,13,4,3,2,3,13875708.44
CRM System,Finance,4,5,4,3,1,5635640.52
Cybersecurity Implementation,Healthcare,9,5,2,3,5,9454166.47
IoT System,Education,10,12,5,4,4,26147532.99
Data Engineering Pipeline,Healthcare,9,13,4,2,3,24199265.21
Mobile Application,Retail,7,8,5,8,3,12038371.24
Blockchain Solution,Retail,15,11,5,3,4,45840331.18
AI/ML Solution,Startup,8,12,2,9,2,14198799.81
AI/ML Solution,Retail,11,9,2,10,1,13118913.17
Web Application,Healthcare,5,12,5,10,4,15059061.25
Cybersecurity Implementation,Retail,2,11,1,3,5,2949950.26
DevOps Automation,Finance,10,6,5,5,1,13045755.49
Blockchain Solution,Retail,16,14,5,7,3,75142982.77
E-commerce Platform,Education,13,14,2,6,5,21509918.31
Cybersecurity Implementation,Finance,8,13,3,3,1,27460269.7
IoT System,Startup,9,11,4,3,5,19078273.87
Data Engineering Pipeline,Education,11,8,2,4,3,12724898.6
CRM System,Healthcare,11,4,1,9,4,8088393.02
SaaS Product,Healthcare,16,4,4,4,5,12683697.0
Blockchain Solution,Healthcare,10,4,2,0,4,8772642.94
SaaS Product,Education,12,13,2,7,3,24823323.66
AI/ML Solution,Education,6,5,3,9,3,6838477.25
CRM System,Education,12,7,1,4,5,10241554.13
CRM System,Finance,10,6,1,2,5,9545923.08
CRM System,Finance,18,9,2,2,3,29719150.81
AI/ML Solution,Healthcare,18,15,3,3,5,65806026.74
IoT System,Retail,4,15,2,6,5,8375570.31
SaaS Product,Healthcare,9,13,5,4,5,33787073.31
Business Intelligence Dashboard,Startup,7,14,5,0,5,12539742.36
SaaS Product,Finance,18,6,3,4,1,20001539.78
ERP System,Education,8,12,2,4,3,14338806.4
Data Engineering Pipeline,Finance,11,13,3,5,3,39443282.16
E-commerce Platform,Education,7,6,2,6,2,4021292.52
Business Intelligence Dashboard,Startup,9,15,2,4,4,13555789.55
Data Engineering Pipeline,Startup,8,11,5,10,2,18386519.85
Mobile Application,Finance,3,3,4,1,5,1964919.57
Cybersecurity Implementation,Education,17,13,1,1,5,26293007.55
Cybersecurity Implementation,Startup,2,12,1,3,1,2589248.98
Cloud Migration,Healthcare,15,12,3,0,1,40125056.29
Cybersecurity Implementation,Healthcare,14,6,1,6,1,17826934.31
SaaS Product,Education,18,13,5,0,1,35035197.88
AI/ML Solution,Finance,16,8,4,2,1,28528203.44
E-commerce Platform,Startup,4,3,2,9,1,1585700.36
DevOps Automation,Finance,6,15,2,6,1,18626874.95
Web Application,Healthcare,6,14,5,10,1,22417269.02
Cloud Migration,Startup,11,7,1,5,1,8193918.04
Legacy System Modernization,Finance,17,8,2,6,3,25526862.87
Legacy System Modernization,Retail,3,6,1,4,1,2587915.09
Web Application,Education,13,10,5,7,4,22641971.53
Data Engineering Pipeline,Education,3,15,2,5,1,5902863.17
Web Application,Retail,16,5,3,3,5,9597940.83
Web Application,Healthcare,15,15,4,10,5,45745433.27
Legacy System Modernization,Startup,11,15,1,0,1,15280840.5
Cloud Migration,Education,18,14,1,1,1,27947113.57
Mobile Application,Retail,15,11,1,5,5,19731268.88
SaaS Product,Retail,5,2,1,3,4,2289521.4
CRM System,Healthcare,16,15,5,2,2,80155245.89
Cybersecurity Implementation,Healthcare,16,9,5,6,3,55040026.86
Cybersecurity Implementation,Finance,17,9,5,6,5,124950713.35
AI/ML Solution,Education,9,8,5,1,1,19318402.82
Cloud Migration,Finance,3,9,2,7,3,6156511.25
AI/ML Solution,Retail,13,3,5,10,1,14729325.99
DevOps Automation,Startup,3,4,2,0,2,1154768.66
DevOps Automation,Startup,7,10,3,10,2,9862322.44
AI/ML Solution,Healthcare,6,2,5,9,5,4293081.01
Cloud Migration,Startup,9,9,3,6,3,11434943.35
AI/ML Solution,Startup,12,9,5,9,3,19142843.29
Cybersecurity Implementation,Startup,15,8,3,0,2,18930811.6
Business Intelligence Dashboard,Retail,3,14,4,2,1,6474276.88
ERP System,Startup,10,15,3,2,5,16516697.04
Legacy System Modernization,Startup,1,12,2,9,4,1153843.29
Legacy System Modernization,Startup,13,6,1,1,2,6721582.37
E-commerce Platform,Finance,12,5,3,9,2,28130076.8
Web Application,Retail,1,11,1,4,5,1165730.84
ERP System,Healthcare,16,11,4,3,1,40697102.68
SaaS Product,Finance,15,14,4,5,3,51062671.66
Cloud Migration,Education,16,11,2,1,2,19282804.97
IoT System,Retail,11,15,2,3,5,25521219.97
ERP System,Retail,6,11,3,6,5,10541461.17
E-commerce Platform,Education,11,7,5,0,5,11169096.95
DevOps Automation,Education,3,13,4,10,3,4938250.31
Data Engineering Pipeline,Education,15,12,1,2,2,21624138.15
Web Application,Healthcare,1,2,5,0,5,366463.42
E-commerce Platform,Startup,7,14,4,1,3,13422621.35
CRM System,Retail,1,6,3,8,1,1046546.72
IoT System,Startup,17,15,4,9,4,51378814.49
Cloud Migration,Startup,9,5,2,4,2,3785574.99
Web Application,Education,13,5,1,3,3,6605555.33
SaaS Product,Healthcare,11,8,1,3,4,12959859.02
ERP System,Finance,6,10,2,7,4,13273295.29
DevOps Automation,Healthcare,1,9,5,2,3,2380980.54
Mobile Application,Startup,7,12,2,3,3,6153977.06
Business Intelligence Dashboard,Healthcare,12,14,1,1,3,17174646.92
CRM System,Education,17,15,3,5,5,36748294.49
IoT System,Finance,4,13,5,8,1,12859547.49
Business Intelligence Dashboard,Education,3,9,4,3,5,3201696.56
Web Application,Finance,1,6,3,10,4,1323085.97
DevOps Automation,Startup,18,7,5,5,4,20901969.76
DevOps Automation,Finance,15,3,1,3,4,6753819.53
E-commerce Platform,Finance,8,14,1,1,3,19413949.75
Legacy System Modernization,Finance,1,12,3,5,2,2545228.68
Legacy System Modernization,Healthcare,14,15,5,6,5,61790645.23
ERP System,Healthcare,4,4,4,3,2,3832616.8
