project_type,client_industry,estimated_timeline_months,team_allocation,complexity_score,revision_count,final_billed_amount
Legacy System Modernization,Healthcare,15,5,4,3,5420392.29
Cybersecurity Implementation,Startup,14,6,1,8,5127538.04
SaaS Product,Healthcare,8,11,1,2,6025070.41
IoT System,Finance,11,7,5,1,7655080.71
Legacy System Modernization,Startup,18,13,5,1,17168434.63
E-commerce Platform,Finance,4,8,2,1,4104291.87
Web Application,Healthcare,10,15,5,5,13950920.73
Business Intelligence Dashboard,Retail,1,14,4,1,852327.19
ERP System,Education,5,10,4,10,4407594.97
Web Application,Finance,13,2,1,6,1812122.91
Cybersecurity Implementation,Healthcare,1,5,4,6,453123.82
Web Application,Startup,8,13,5,6,6650976.63
AI/ML Solution,Finance,3,13,5,1,3543035.03
E-commerce Platform,Finance,3,10,5,6,3034936.57
ERP System,Education,7,6,3,9,3140584.88
Legacy System Modernization,Healthcare,4,9,4,7,3161892.52
Legacy System Modernization,Retail,3,13,2,7,2168279.77
Legacy System Modernization,Startup,15,2,4,1,1778452.09
Cybersecurity Implementation,Healthcare,8,5,4,4,3577555.58
DevOps Automation,Startup,3,13,3,5,2497559.65
SaaS Product,Finance,7,15,4,8,8699200.67
Business Intelligence Dashboard,Education,18,13,1,5,12292826.43
Blockchain Solution,Education,11,10,5,9,10029413.54
Cloud Migration,Retail,11,14,5,5,12221172.64
SaaS Product,Education,17,2,3,9,2474876.25
Cybersecurity Implementation,Finance,6,2,5,9,1226186.46
Mobile Application,Retail,8,5,1,5,2291052.28
E-commerce Platform,Healthcare,1,15,3,8,1223447.29
Business Intelligence Dashboard,Education,10,4,2,9,2716446.69
SaaS Product,Retail,3,8,5,6,1815001.37
IoT System,Finance,4,12,4,0,4623735.95
Cybersecurity Implementation,Startup,11,4,1,0,2459821.45
AI/ML Solution,Startup,15,2,1,3,1851736.79
Cloud Migration,Finance,1,13,5,1,1255249.94
AI/ML Solution,Finance,9,12,2,2,9347253.84
Legacy System Modernization,Startup,11,11,4,6,8218707.24
Cloud Migration,Retail,13,3,2,6,2755816.11
SaaS Product,Startup,16,11,2,2,10869804.05
IoT System,Finance,4,14,5,1,5814107.75
Legacy System Modernization,Education,1,5,4,0,333443.8
Blockchain Solution,Healthcare,13,2,5,8,2868640.95
E-commerce Platform,Education,1,2,5,9,172904.25
Mobile Application,Education,5,13,1,2,3687674.26
Business Intelligence Dashboard,Finance,5,15,5,8,7763541.04
DevOps Automation,Startup,14,9,3,3,7921831.19
AI/ML Solution,Retail,14,8,4,9,7973097.66
AI/ML Solution,Education,8,15,1,5,7691382.93
Legacy System Modernization,Startup,4,9,4,6,1909969.53
Data Engineering Pipeline,Retail,7,14,1,9,5674323.52
Cloud Migration,Education,15,5,3,5,5432886.7
CRM System,Retail,4,7,5,0,2413833.55
Blockchain Solution,Startup,9,14,1,5,8397296.1
Business Intelligence Dashboard,Healthcare,13,4,1,10,3633017.03
Cloud Migration,Startup,14,12,1,5,8387533.2
Data Engineering Pipeline,Finance,14,14,3,4,12881507.35
Web Application,Retail,10,9,4,2,6330140.64
Cloud Migration,Healthcare,16,5,3,9,5792054.41
DevOps Automation,Retail,5,4,1,2,1189855.62
Business Intelligence Dashboard,Retail,6,5,1,10,1830476.99
SaaS Product,Education,2,7,5,9,1239217.32
Blockchain Solution,Finance,13,12,3,6,14268084.17
Data Engineering Pipeline,Retail,13,8,3,7,7741839.89
Web Application,Startup,18,8,2,2,7928297.42
E-commerce Platform,Startup,1,15,4,2,1031421.86
ERP System,Education,8,13,2,6,7093783.42
Data Engineering Pipeline,Finance,16,5,2,9,6702647.91
ERP System,Finance,2,9,4,6,1683982.76
Business Intelligence Dashboard,Startup,8,8,5,10,7875729.59
AI/ML Solution,Healthcare,6,3,5,8,2005344.83
Data Engineering Pipeline,Education,16,14,4,5,15096791.89
E-commerce Platform,Education,11,9,4,6,7363135.33
Mobile Application,Startup,17,10,3,10,11519318.18
Legacy System Modernization,Startup,11,6,3,9,3742776.66
ERP System,Healthcare,8,5,3,0,3256517.41
Legacy System Modernization,Healthcare,4,5,3,6,1568547.06
DevOps Automation,Finance,11,14,1,1,16546837.41
Mobile Application,Education,8,5,1,6,2366478.72
Legacy System Modernization,Education,9,7,5,2,5016017.98
Cybersecurity Implementation,Startup,2,12,1,8,1380451.29
Cybersecurity Implementation,Finance,16,5,1,4,5548008.61
Web Application,Education,6,8,3,6,3118386.96
Blockchain Solution,Finance,8,8,3,7,6559997.57
AI/ML Solution,Finance,14,6,4,1,7828667.72
Business Intelligence Dashboard,Startup,16,14,3,10,13451714.86
Data Engineering Pipeline,Finance,12,6,4,0,5637364.04
CRM System,Healthcare,5,11,4,6,5107453.96
DevOps Automation,Healthcare,18,9,1,5,10662593.39
ERP System,Retail,9,8,3,5,5189529.96
Business Intelligence Dashboard,Startup,2,15,1,1,1636856.35
Mobile Application,Retail,12,8,3,2,7075507.07
IoT System,Healthcare,2,7,1,3,978986.74
Cybersecurity Implementation,Retail,10,8,1,2,4474243.67
IoT System,Startup,1,8,1,1,430379.17
E-commerce Platform,Startup,4,11,5,2,2970014.92
DevOps Automation,Finance,12,15,1,5,12484257.95
CRM System,Education,9,3,2,8,2907303.1
Data Engineering Pipeline,Finance,4,15,2,3,4577433.68
Web Application,Startup,9,11,2,5,5687930.57
CRM System,Healthcare,6,3,4,0,1455469.79
DevOps Automation,Healthcare,1,15,1,5,992193.27
CRM System,Finance,10,11,2,2,8045834.49
DevOps Automation,Startup,14,8,4,8,8632142.17
DevOps Automation,Healthcare,18,15,2,3,19251736.85
Cloud Migration,Startup,6,11,3,6,4706843.95
ERP System,Healthcare,18,8,5,3,13057866.11
SaaS Product,Startup,16,8,1,10,7917997.2
IoT System,Retail,15,6,5,5,8958860.49
SaaS Product,Startup,16,2,5,6,2609286.31
SaaS Product,Startup,8,15,3,1,8152071.68
SaaS Product,Finance,13,3,3,9,3477927.16
Legacy System Modernization,Retail,11,14,3,5,11416080.09
Cybersecurity Implementation,Education,7,10,4,7,6309921.42
Cloud Migration,Finance,17,9,2,5,13562803.72
Data Engineering Pipeline,Education,18,9,1,1,9557354.12
Cloud Migration,Healthcare,13,11,3,3,11091587.27
AI/ML Solution,Education,15,2,1,0,3174274.62
AI/ML Solution,Startup,1,7,1,6,413299.55
Legacy System Modernization,Education,16,10,1,7,9122023.78
Cybersecurity Implementation,Finance,5,9,3,9,3510341.49
CRM System,Finance,3,4,3,1,1105955.62
ERP System,Education,10,5,2,9,3853953.34
Cybersecurity Implementation,Finance,5,4,3,4,3130694.31
Legacy System Modernization,Finance,7,7,3,10,4444068.86
DevOps Automation,Education,14,15,1,7,11797171.05
Mobile Application,Retail,3,10,2,10,3482353.56
ERP System,Retail,13,9,5,7,12056450.08
Blockchain Solution,Healthcare,13,14,3,4,17358339.27
IoT System,Finance,10,11,3,7,10693072.9
ERP System,Education,2,5,5,5,811006.59
Legacy System Modernization,Finance,6,3,1,4,1280114.6
DevOps Automation,Startup,8,14,2,10,6707637.59
DevOps Automation,Finance,4,9,1,3,2420249.55
Web Application,Finance,12,9,4,4,8375111.21
SaaS Product,Retail,15,15,3,3,17081735.85
Cybersecurity Implementation,Education,8,13,4,0,8442570.46
DevOps Automation,Finance,7,12,3,2,6723093.37
AI/ML Solution,Retail,14,7,4,7,8084375.74
SaaS Product,Healthcare,14,15,5,6,19643517.05
Data Engineering Pipeline,Retail,13,9,3,6,9290856.61
Mobile Application,Retail,1,10,3,10,658798.97
Legacy System Modernization,Retail,1,14,4,2,1161183.41
IoT System,Finance,4,2,2,8,688619.65
Cybersecurity Implementation,Finance,10,10,4,5,7980884.58
Business Intelligence Dashboard,Healthcare,3,3,3,7,696792.62
AI/ML Solution,Startup,9,15,3,7,9184715.55
E-commerce Platform,Startup,3,14,2,2,2245910.43
Blockchain Solution,Startup,6,2,1,3,776420.44
CRM System,Healthcare,6,9,2,5,3864288.8
DevOps Automation,Startup,12,9,1,1,5745798.64
Business Intelligence Dashboard,Startup,1,12,3,10,695907.97
DevOps Automation,Retail,16,5,5,6,7045264.51
ERP System,Finance,5,9,5,1,4888400.12
AI/ML Solution,Finance,9,8,4,10,7818807.11
ERP System,Retail,10,14,2,4,10349184.21
Web Application,Retail,13,3,2,3,2502616.99
ERP System,Retail,15,6,5,8,6933760.77
Web Application,Finance,12,15,1,1,11380396.75
Blockchain Solution,Startup,5,11,2,6,5702138.45
Legacy System Modernization,Retail,5,5,1,6,1559213.45
Web Application,Healthcare,18,4,1,6,3973880.8
Business Intelligence Dashboard,Retail,12,2,1,0,1379167.69
SaaS Product,Education,3,6,1,7,1198997.99
DevOps Automation,Retail,7,11,4,1,5984175.63
CRM System,Finance,17,9,4,4,14739133.96
SaaS Product,Retail,18,13,5,1,18003087.64
IoT System,Education,1,10,4,4,793563.2
Legacy System Modernization,Healthcare,5,8,2,6,2762288.37
ERP System,Startup,2,13,4,5,2014232.68
E-commerce Platform,Retail,1,12,2,4,648167.47
IoT System,Education,7,2,2,3,955372.8
AI/ML Solution,Education,11,2,1,7,1489989.17
Web Application,Healthcare,11,2,5,10,1996595.13
DevOps Automation,Finance,18,3,1,7,3125783.5
Mobile Application,Retail,17,2,1,0,1752018.13
Cybersecurity Implementation,Education,2,5,4,9,843023.64
Business Intelligence Dashboard,Healthcare,7,11,4,1,5075050.59
CRM System,Startup,7,10,2,2,3579986.82
Cloud Migration,Education,10,13,4,0,10072983.4
Business Intelligence Dashboard,Healthcare,3,5,4,10,1422299.63
Blockchain Solution,Finance,12,14,3,2,15753091.29
Mobile Application,Finance,3,5,2,9,1209922.46
E-commerce Platform,Education,11,8,2,7,5769038.96
Cybersecurity Implementation,Education,12,15,3,3,14106110.71
Mobile Application,Retail,4,12,2,6,3084801.75
ERP System,Healthcare,16,10,5,6,15612283.98
Web Application,Education,18,8,5,10,11162279.96
Legacy System Modernization,Retail,4,2,3,4,511206.44
CRM System,Retail,6,2,4,0,939683.51
Data Engineering Pipeline,Education,15,5,5,9,5299331.4
Web Application,Finance,1,5,3,3,394229.68
Data Engineering Pipeline,Healthcare,3,2,5,6,518347.14
IoT System,Healthcare,5,7,1,4,2504440.79
Legacy System Modernization,Finance,17,11,3,1,14766907.59
Cybersecurity Implementation,Education,14,3,2,7,2885220.95
DevOps Automation,Healthcare,9,12,5,1,10141118.79
Cloud Migration,Education,3,6,2,10,1201967.41
AI/ML Solution,Education,13,9,3,7,9531840.61
SaaS Product,Retail,3,4,5,10,1080482.38
Legacy System Modernization,Finance,11,10,2,1,8734939.63
Web Application,Education,2,8,4,10,1192974.21
CRM System,Startup,15,10,4,4,11452278.35
SaaS Product,Finance,13,2,1,3,1618527.51
Blockchain Solution,Healthcare,16,6,3,0,9104461.93
Blockchain Solution,Retail,18,13,2,7,18934576.89
Mobile Application,Healthcare,7,14,1,9,6311302.67
SaaS Product,Healthcare,13,4,3,2,4301943.39
CRM System,Finance,4,5,4,3,1873425.12
Cybersecurity Implementation,Healthcare,9,5,2,3,2983906.58
IoT System,Education,10,12,5,4,9606844.43
Data Engineering Pipeline,Healthcare,9,13,4,2,9027738.7
Mobile Application,Retail,7,8,5,8,5237080.82
Blockchain Solution,Retail,15,11,5,3,16171575.58
AI/ML Solution,Startup,8,12,2,9,7110826.7
AI/ML Solution,Retail,11,9,2,10,7904125.26
Web Application,Healthcare,5,12,5,10,5588805.21
Cybersecurity Implementation,Retail,2,11,1,3,1417360.04
DevOps Automation,Finance,10,6,5,5,5844695.09
Blockchain Solution,Retail,16,14,5,7,23346176.14
E-commerce Platform,Education,13,14,2,6,9721641.87
Cybersecurity Implementation,Finance,8,13,3,3,9832088.82
IoT System,Startup,9,11,4,3,7178100.62
Data Engineering Pipeline,Education,11,8,2,4,6281005.73
CRM System,Healthcare,11,4,1,9,2666607.24
SaaS Product,Healthcare,16,4,4,4,5706777.82
Blockchain Solution,Healthcare,10,4,2,0,3185780.14
SaaS Product,Education,12,13,2,7,10773817.64
AI/ML Solution,Education,6,5,3,9,2045365.3
CRM System,Education,12,7,1,4,4903792.2
CRM System,Finance,10,6,1,2,4352222.72
CRM System,Finance,18,9,2,2,13269874.05
AI/ML Solution,Healthcare,18,15,3,3,22736321.27
IoT System,Retail,4,15,2,6,4589415.98
SaaS Product,Healthcare,9,13,5,4,11967371.41
Business Intelligence Dashboard,Startup,7,14,5,0,8706564.06
SaaS Product,Finance,18,6,3,4,8906667.54
ERP System,Education,8,12,2,4,11480405.21
Data Engineering Pipeline,Finance,11,13,3,5,12664381.36
E-commerce Platform,Education,7,6,2,6,2485107.01
Business Intelligence Dashboard,Startup,9,15,2,4,6489245.89
Data Engineering Pipeline,Startup,8,11,5,10,11834072.51
Mobile Application,Finance,3,3,4,1,833009.84
Cybersecurity Implementation,Education,17,13,1,1,10908090.77
Cybersecurity Implementation,Startup,2,12,1,3,1391845.23
Cloud Migration,Healthcare,15,12,3,0,14682555.13
Cybersecurity Implementation,Healthcare,14,6,1,6,6346032.15
SaaS Product,Education,18,13,5,0,18085730.92
AI/ML Solution,Finance,16,8,4,2,12895520.3
E-commerce Platform,Startup,4,3,2,9,740838.33
DevOps Automation,Finance,6,15,2,6,10414315.64
Web Application,Healthcare,6,14,5,10,6485547.37
Cloud Migration,Startup,11,7,1,5,4055545.14
Legacy System Modernization,Finance,17,8,2,6,10120920.61
Legacy System Modernization,Retail,3,6,1,4,1016128.82
Web Application,Education,13,10,5,7,17434755.24
Data Engineering Pipeline,Education,3,15,2,5,3033445.32
Web Application,Retail,16,5,3,3,5870092.93
Web Application,Healthcare,15,15,4,10,18530361.66
Legacy System Modernization,Startup,11,15,1,0,8674389.54
Cloud Migration,Education,18,14,1,1,13827804.73
Mobile Application,Retail,15,11,1,5,9689232.67
SaaS Product,Retail,5,2,1,3,1000569.3
CRM System,Healthcare,16,15,5,2,24898735.45
Cybersecurity Implementation,Healthcare,16,9,5,6,15013302.45
Cybersecurity Implementation,Finance,17,9,5,6,16243312.33
AI/ML Solution,Education,9,8,5,1,6706286.93
Cloud Migration,Finance,3,9,2,7,2266536.55
AI/ML Solution,Retail,13,3,5,10,3930385.12
DevOps Automation,Startup,3,4,2,0,1170562.85
DevOps Automation,Startup,7,10,3,10,4040977.7
AI/ML Solution,Healthcare,6,2,5,9,1512656.22
Cloud Migration,Startup,9,9,3,6,5971442.11
AI/ML Solution,Startup,12,9,5,9,9586539.88
Cybersecurity Implementation,Startup,15,8,3,0,8519593.12
Business Intelligence Dashboard,Retail,3,14,4,2,3154276.78
ERP System,Startup,10,15,3,2,10613339.95
Legacy System Modernization,Startup,1,12,2,9,771123.09
Legacy System Modernization,Startup,13,6,1,1,3949045.38
E-commerce Platform,Finance,12,5,3,9,5067007.0
Web Application,Retail,1,11,1,4,682931.03
ERP System,Healthcare,16,11,4,3,16426691.69
SaaS Product,Finance,15,14,4,5,19086342.52
Cloud Migration,Education,16,11,2,1,11164514.68
IoT System,Retail,11,15,2,3,11462969.69
ERP System,Retail,6,11,3,6,5526378.65
E-commerce Platform,Education,11,7,5,0,5762739.36
DevOps Automation,Education,3,13,4,10,5047026.21
Data Engineering Pipeline,Education,15,12,1,2,10207289.51
Web Application,Healthcare,1,2,5,0,187712.34
E-commerce Platform,Startup,7,14,4,1,6934735.27
CRM System,Retail,1,6,3,8,483316.02
IoT System,Startup,17,15,4,9,21314720.96
Cloud Migration,Startup,9,5,2,4,2756609.53
Web Application,Education,13,5,1,3,3782228.36
SaaS Product,Healthcare,11,8,1,3,5973287.4
ERP System,Finance,6,10,2,7,5535343.88
DevOps Automation,Healthcare,1,9,5,2,799687.5
Mobile Application,Startup,7,12,2,3,5150631.79
Business Intelligence Dashboard,Healthcare,12,14,1,1,8780397.97
CRM System,Education,17,15,3,5,18721983.89
IoT System,Finance,4,13,5,8,5188235.53
Business Intelligence Dashboard,Education,3,9,4,3,1804725.22
Web Application,Finance,1,6,3,10,536630.36
DevOps Automation,Startup,18,7,5,5,9054101.9
DevOps Automation,Finance,15,3,1,3,3195540.52
E-commerce Platform,Finance,8,14,1,1,8436481.84
Legacy System Modernization,Finance,1,12,3,5,1025513.02
Legacy System Modernization,Healthcare,14,15,5,6,21807270.81
ERP System,Healthcare,4,4,4,3,1529411.99
E-commerce Platform,Startup,5,6,4,10,2270985.06
Cybersecurity Implementation,Finance,13,3,2,6,2835140.84
ERP System,Retail,15,4,3,10,4945347.8
Cybersecurity Implementation,Startup,6,5,5,7,2534925.64
Legacy System Modernization,Finance,1,7,3,10,593826.8
E-commerce Platform,Finance,13,6,4,2,6970690.56
Cybersecurity Implementation,Healthcare,6,11,5,1,7147809.17
CRM System,Startup,15,5,1,4,4564216.09
E-commerce Platform,Finance,16,14,1,1,15084798.15
Legacy System Modernization,Finance,16,3,5,9,4235408.72
ERP System,Startup,10,13,3,4,9208195.34
Blockchain Solution,Retail,9,12,3,9,10326502.03
E-commerce Platform,Startup,9,6,1,5,2720784.75
Mobile Application,Startup,17,6,1,7,6253031.63
IoT System,Retail,17,12,4,5,17064716.1
Legacy System Modernization,Startup,17,8,5,3,10050087.21
AI/ML Solution,Finance,12,2,3,2,2068504.94
AI/ML Solution,Startup,13,5,4,1,5106568.4
ERP System,Retail,12,12,3,0,10515792.87
ERP System,Education,14,6,1,1,5386530.48
Business Intelligence Dashboard,Startup,10,9,5,1,6561348.62
IoT System,Healthcare,2,13,2,4,1981155.62
IoT System,Finance,4,13,5,8,5412709.82
CRM System,Finance,7,9,2,0,4628213.9
ERP System,Healthcare,15,2,4,3,2640675.59
IoT System,Healthcare,15,6,2,9,6240459.33
SaaS Product,Startup,6,11,2,6,4027014.06
Business Intelligence Dashboard,Healthcare,3,2,4,10,548276.74
Cybersecurity Implementation,Education,6,2,5,9,1071342.74
DevOps Automation,Retail,16,3,4,2,3214255.06
DevOps Automation,Healthcare,2,3,1,7,417920.44
Cybersecurity Implementation,Healthcare,7,10,1,2,4470122.75
Cloud Migration,Education,11,5,2,7,3276787.88
Legacy System Modernization,Finance,7,4,4,1,1886441.79
Business Intelligence Dashboard,Finance,4,12,4,4,3917992.29
SaaS Product,Startup,7,2,4,3,1058169.41
IoT System,Education,4,13,5,10,4834790.79
Blockchain Solution,Retail,12,3,3,8,2660558.68
Business Intelligence Dashboard,Retail,5,7,3,2,2151024.99
E-commerce Platform,Education,5,10,3,10,3805081.91
Cybersecurity Implementation,Retail,3,6,5,4,1686941.15
SaaS Product,Finance,11,5,4,9,4375148.21
Mobile Application,Retail,7,14,3,8,5934768.79
Data Engineering Pipeline,Retail,17,6,4,5,8837610.7
Web Application,Education,9,10,2,1,8747933.58
Legacy System Modernization,Education,9,13,3,0,6117270.19
Cybersecurity Implementation,Retail,10,14,2,10,10282452.42
Blockchain Solution,Healthcare,13,8,5,0,11948718.76
IoT System,Education,15,9,1,6,9016260.67
Blockchain Solution,Startup,5,5,5,1,2182924.85
Blockchain Solution,Startup,3,12,5,6,3302622.01
ERP System,Finance,8,9,5,0,6468197.78
ERP System,Retail,10,7,3,3,5806864.81
CRM System,Healthcare,13,6,2,9,6044560.36
Cybersecurity Implementation,Finance,3,14,3,10,3830282.78
CRM System,Retail,8,13,1,3,6709887.59
Cybersecurity Implementation,Education,9,8,5,4,6091802.1
Legacy System Modernization,Startup,12,7,4,9,5652342.33
Business Intelligence Dashboard,Healthcare,11,4,1,0,2304293.0
Web Application,Startup,2,6,2,6,644972.66
Blockchain Solution,Education,18,10,1,10,12832165.52
Legacy System Modernization,Retail,9,8,3,1,5119525.43
Business Intelligence Dashboard,Education,2,13,4,10,1924833.49
Data Engineering Pipeline,Education,2,5,3,10,748625.71
DevOps Automation,Startup,3,8,5,1,3136878.9
AI/ML Solution,Healthcare,16,6,5,7,11145161.99
E-commerce Platform,Education,4,12,1,8,2720395.43
SaaS Product,Startup,18,14,5,5,19633531.55
Cybersecurity Implementation,Healthcare,18,3,5,10,5583150.95
Data Engineering Pipeline,Retail,10,14,2,0,7890664.23
DevOps Automation,Retail,11,7,2,0,4871374.4
IoT System,Finance,17,8,3,10,11929871.08
Cloud Migration,Startup,16,9,3,6,9912734.47
Web Application,Healthcare,13,7,2,7,6133470.16
SaaS Product,Education,2,9,1,2,1024661.59
CRM System,Retail,2,8,2,8,1169032.71
CRM System,Healthcare,14,3,3,3,2880267.21
Business Intelligence Dashboard,Startup,4,15,4,3,4069787.54
SaaS Product,Finance,17,7,5,2,11582156.67
ERP System,Retail,13,10,4,7,11805145.36
DevOps Automation,Healthcare,4,13,4,8,4597376.59
Cloud Migration,Healthcare,3,7,5,0,1825836.04
Data Engineering Pipeline,Healthcare,12,5,2,1,4331447.7
Web Application,Startup,8,8,1,0,3544940.38
Legacy System Modernization,Startup,2,4,4,3,594297.87
DevOps Automation,Startup,6,6,1,9,1931202.19
Cloud Migration,Education,10,2,3,6,1592871.63
AI/ML Solution,Healthcare,12,11,4,6,13163397.44
Cybersecurity Implementation,Retail,10,4,3,5,3097664.21
Legacy System Modernization,Startup,10,9,2,10,5609914.62
CRM System,Startup,3,10,4,4,2221884.75
Legacy System Modernization,Healthcare,10,10,3,10,8801542.62
Data Engineering Pipeline,Startup,9,11,3,3,6747642.39
CRM System,Education,14,3,2,7,2889839.08
Data Engineering Pipeline,Education,2,5,1,6,646415.28
Business Intelligence Dashboard,Startup,5,6,1,10,1613032.38
ERP System,Healthcare,8,4,4,10,3205185.47
Data Engineering Pipeline,Healthcare,7,14,2,9,7940319.12
CRM System,Healthcare,6,12,4,0,6230993.74
Business Intelligence Dashboard,Finance,11,2,1,5,1491609.93
Data Engineering Pipeline,Startup,12,7,2,1,4183394.72
AI/ML Solution,Healthcare,18,15,5,3,24951764.59
Legacy System Modernization,Education,10,11,2,4,6729532.88
ERP System,Retail,14,3,2,7,3185139.58
Data Engineering Pipeline,Retail,3,10,5,5,2690546.12
Business Intelligence Dashboard,Healthcare,18,2,3,10,2770524.7
IoT System,Retail,15,12,3,1,14859041.8
DevOps Automation,Retail,6,10,3,4,4695468.46
Mobile Application,Finance,10,8,1,4,5238375.81
Cloud Migration,Education,12,12,2,5,8453758.9
Mobile Application,Education,7,14,5,0,6374801.3
IoT System,Finance,17,11,1,7,13921103.12
Mobile Application,Finance,1,3,5,2,244760.64
IoT System,Retail,18,15,1,4,18427904.92
Web Application,Startup,15,7,1,6,5595796.77
IoT System,Retail,1,9,1,2,567828.72
IoT System,Finance,5,3,5,9,1757629.81
Blockchain Solution,Education,15,6,4,5,8530402.14
IoT System,Retail,3,14,1,4,2657879.6
AI/ML Solution,Startup,1,13,3,6,1619265.77
DevOps Automation,Retail,8,12,2,9,6122466.63
Cybersecurity Implementation,Healthcare,12,7,4,10,7339288.82
Data Engineering Pipeline,Retail,12,4,4,2,4097810.42
Cloud Migration,Finance,13,15,5,1,19395931.35
ERP System,Education,1,13,4,3,990351.0
DevOps Automation,Education,6,3,5,2,1298714.03
CRM System,Finance,8,12,5,3,10521515.33
Cybersecurity Implementation,Healthcare,4,7,3,6,2404437.14
Web Application,Finance,5,4,1,4,1339586.6
Web Application,Retail,7,3,4,3,1613354.53
E-commerce Platform,Finance,4,2,1,5,576226.11
Legacy System Modernization,Finance,4,15,1,6,4207715.05
IoT System,Healthcare,15,9,1,10,11167595.79
DevOps Automation,Retail,5,2,5,4,775031.85
Business Intelligence Dashboard,Startup,9,13,1,6,5705351.13
Blockchain Solution,Startup,2,6,4,2,834526.12
Mobile Application,Education,7,12,5,6,7453780.3
CRM System,Finance,17,7,4,2,11519110.57
Web Application,Education,16,12,5,5,13711223.63
Cloud Migration,Healthcare,17,13,2,7,19645637.11
Web Application,Startup,2,13,2,5,1539259.53
ERP System,Finance,11,4,2,9,3579600.63
Data Engineering Pipeline,Healthcare,2,15,2,10,2389281.39
Web Application,Healthcare,1,8,5,2,723077.16
ERP System,Finance,2,3,1,4,477415.61
DevOps Automation,Healthcare,9,8,3,8,5882514.48
DevOps Automation,Finance,2,3,3,7,521739.09
Blockchain Solution,Finance,15,6,2,5,8057512.82
Legacy System Modernization,Retail,10,8,1,8,4973171.49
E-commerce Platform,Education,15,12,4,1,13469765.07
Cybersecurity Implementation,Healthcare,10,12,1,10,8299486.21
Web Application,Healthcare,17,15,4,8,20386118.27
Cloud Migration,Retail,9,4,3,9,2809847.99
Web Application,Retail,18,15,1,9,15735017.84
E-commerce Platform,Retail,4,12,1,5,2763905.1
SaaS Product,Startup,9,5,3,8,4953313.59
Cloud Migration,Startup,16,2,1,3,1532283.22
AI/ML Solution,Startup,4,4,4,4,1215520.2
IoT System,Finance,16,10,1,1,10991502.64
Cybersecurity Implementation,Healthcare,1,11,4,2,997408.68
AI/ML Solution,Education,6,6,2,0,2353793.36
SaaS Product,Finance,10,9,1,3,6558956.09
SaaS Product,Healthcare,16,3,4,1,4067620.9
E-commerce Platform,Healthcare,4,4,3,1,1153287.74
Web Application,Retail,13,8,2,0,7039634.53
E-commerce Platform,Retail,16,15,1,9,13496378.52
E-commerce Platform,Finance,6,11,4,1,5964306.64
SaaS Product,Retail,11,5,1,3,3479431.26
Cybersecurity Implementation,Healthcare,3,10,4,5,2757066.42
AI/ML Solution,Retail,10,15,1,6,8466682.93
Mobile Application,Startup,1,8,2,6,529508.55
Web Application,Retail,11,15,2,6,11731746.89
SaaS Product,Healthcare,12,12,1,3,8214460.22
AI/ML Solution,Finance,14,13,1,4,13884940.41
Legacy System Modernization,Education,8,2,5,10,1431683.84
Mobile Application,Retail,11,5,1,2,3199925.36
Mobile Application,Healthcare,4,11,1,0,2864187.71
DevOps Automation,Education,7,12,2,7,5589457.06
Blockchain Solution,Education,10,7,1,9,4968755.61
Web Application,Startup,4,7,3,10,1858597.0
Mobile Application,Education,2,11,1,6,1306302.05
SaaS Product,Healthcare,18,7,5,8,10125139.23
DevOps Automation,Healthcare,14,6,4,9,7272652.1
AI/ML Solution,Retail,16,4,2,3,4812315.38
Legacy System Modernization,Retail,11,3,3,4,2324353.66
ERP System,Retail,10,4,4,4,3880167.57
Web Application,Education,17,10,3,6,9713677.2
Cybersecurity Implementation,Education,14,4,2,8,3644764.08
E-commerce Platform,Startup,4,4,5,7,1076128.94
Cloud Migration,Retail,2,2,2,6,293149.08
Cloud Migration,Finance,7,3,3,0,1751081.41
AI/ML Solution,Startup,9,12,3,9,8991739.0
Business Intelligence Dashboard,Finance,16,13,2,5,14647769.56
Business Intelligence Dashboard,Education,16,4,1,9,3640317.78
AI/ML Solution,Startup,18,3,2,8,3862201.53
SaaS Product,Startup,11,9,5,6,7963066.26
Mobile Application,Healthcare,7,7,2,0,3368649.83
Blockchain Solution,Education,9,8,4,8,6809105.31
Web Application,Education,4,2,1,2,410540.44
Cloud Migration,Startup,13,7,4,8,7166037.23
Cloud Migration,Education,4,3,2,3,853243.64
Blockchain Solution,Startup,2,14,1,8,2021853.63
Mobile Application,Healthcare,9,7,4,7,5042307.65
Cloud Migration,Startup,12,4,4,6,3524634.16
E-commerce Platform,Education,2,8,1,3,781633.41
Cybersecurity Implementation,Education,6,4,1,8,1654569.11
Web Application,Startup,5,10,3,3,3114623.17
Data Engineering Pipeline,Startup,5,4,1,0,988046.33
Cloud Migration,Startup,5,8,2,5,2439210.09
AI/ML Solution,Retail,4,13,5,3,5001968.63
Cybersecurity Implementation,Education,9,5,3,9,3055137.8
Cloud Migration,Education,10,9,1,2,4781355.59
IoT System,Retail,16,15,5,4,19562580.07
Legacy System Modernization,Startup,10,3,3,2,3258625.17
E-commerce Platform,Healthcare,10,9,2,10,7180431.01
Cybersecurity Implementation,Startup,10,10,5,8,8097158.81
DevOps Automation,Startup,6,14,1,5,4568941.36
Data Engineering Pipeline,Retail,17,9,1,2,14691802.47
Legacy System Modernization,Education,5,7,2,4,2130284.96
CRM System,Startup,6,11,3,7,3900587.61
