project_type,client_industry,complexity_level,client_tier,estimated_timeline_weeks,team_size,estimated_modules,estimated_features,estimated_hours,quoted_cost,final_    billed_amount
Data Pipeline,SaaS,High,Startup,22,14,30,33,13552,18259921.0,17858449.0
AI Solution,Manufacturing,Low,Enterprise,24,4,32,150,4032,7320767.0,7524035.0
Web App,Manufacturing,Medium,SMB,6,12,16,196,2880,4609004.0,4600588.0
Web App,Manufacturing,Medium,SMB,25,5,17,64,5500,9592904.0,10905848.0
Web App,SaaS,Low,SMB,21,12,49,42,10836,10379947.0,10624476.0
Data Pipeline,FinTech,Medium,SMB,26,3,22,164,3354,8944165.0,8532344.0
Data Pipeline,E-commerce,Low,Startup,26,2,44,135,2288,3448174.0,4230510.0
ERP,Manufacturing,Medium,SMB,25,2,48,94,1550,5524817.0,5353431.0
Web App,FinTech,Low,Enterprise,15,2,47,61,1290,3095457.0,3585883.0
Mobile App,SaaS,High,Enterprise,27,7,26,197,6615,16945961.0,16411389.0
AI Solution,E-commerce,Medium,Startup,22,3,44,102,2376,4703931.0,5254234.0
Mobile App,Manufacturing,High,Enterprise,7,7,30,196,1960,5439531.0,5649075.0
ERP,Education,High,Startup,6,9,32,148,2106,3665335.0,4283334.0
Mobile App,Education,Low,Startup,18,9,16,50,5994,4915580.0,5737018.0
Mobile App,FinTech,Medium,SMB,13,4,7,171,1768,4331486.0,4614260.0
Web App,SaaS,Low,SMB,26,3,24,159,2808,4179222.0,4484060.0
Mobile App,Manufacturing,High,SMB,23,2,26,135,1610,6179208.0,6057068.0
Web App,SaaS,Medium,Startup,9,2,47,131,738,1973614.0,1886289.0
AI Solution,Healthcare,Medium,Enterprise,11,8,15,80,2992,10433434.0,10695215.0
Data Pipeline,FinTech,High,SMB,11,13,34,30,5863,12416261.0,12119949.0
Data Pipeline,SaaS,High,Enterprise,12,8,35,181,3456,13521813.0,12328089.0
Web App,FinTech,Low,SMB,13,6,19,41,2730,4370516.0,5359073.0
Mobile App,SaaS,Low,SMB,17,14,10,182,10234,9476423.0,9213245.0
Data Pipeline,FinTech,Low,Startup,9,6,26,77,1620,3108713.0,3479095.0
AI Solution,Healthcare,High,SMB,17,14,11,147,9758,17768422.0,17794521.0
Web App,E-commerce,Medium,SMB,29,13,44,171,15834,19115371.0,20482922.0
ERP,SaaS,Medium,SMB,8,5,44,163,1720,3553718.0,3507993.0
AI Solution,Manufacturing,Medium,Enterprise,12,8,49,27,3456,8992386.0,9092897.0
AI Solution,Manufacturing,Medium,SMB,8,6,33,186,1968,3163270.0,3942173.0
Mobile App,SaaS,Medium,Startup,26,7,36,125,5642,9616458.0,8983357.0
AI Solution,E-commerce,High,SMB,7,5,21,60,1120,4666667.0,4304937.0
ERP,Manufacturing,Medium,Startup,13,4,13,79,2132,4859518.0,4493068.0
Mobile App,E-commerce,High,SMB,23,8,34,44,7544,13963639.0,13437387.0
Mobile App,FinTech,Medium,Startup,12,10,18,118,3960,10374004.0,9565919.0
Web App,Manufacturing,High,Enterprise,13,3,15,35,1170,5479773.0,5055016.0
Web App,Education,Medium,Startup,13,13,17,151,6084,9137799.0,8911136.0
ERP,Education,Medium,Startup,20,9,40,27,6120,7961252.0,8058461.0
Data Pipeline,Manufacturing,Low,Startup,10,14,41,48,4480,4966676.0,5742651.0
Data Pipeline,SaaS,Medium,Startup,23,10,10,82,7590,11574327.0,11042025.0
Data Pipeline,E-commerce,Medium,Startup,25,14,40,41,11550,17383350.0,18825553.0
ERP,FinTech,Low,SMB,21,3,9,167,2268,5335014.0,6054307.0
Mobile App,SaaS,High,Startup,10,5,23,178,1600,3967730.0,4219623.0
Mobile App,E-commerce,Medium,SMB,27,2,36,163,2322,4167968.0,4969247.0
Data Pipeline,Education,Medium,SMB,15,2,37,111,900,2980155.0,3038677.0
ERP,Education,Low,Startup,21,12,15,31,8064,9431410.0,9386732.0
ERP,Manufacturing,Medium,Startup,28,14,14,61,14504,16272245.0,18589968.0
Data Pipeline,Manufacturing,Low,SMB,12,3,36,108,1116,6306116.0,6051777.0
ERP,Education,Medium,SMB,7,9,31,149,2772,4399199.0,4499976.0
ERP,SaaS,Low,Startup,17,6,22,161,3162,5589029.0,5509605.0
ERP,Manufacturing,Medium,SMB,7,9,29,115,1890,4559864.0,5204785.0
Data Pipeline,E-commerce,Low,Enterprise,24,9,18,159,6480,11756009.0,13989039.0
ERP,FinTech,High,Enterprise,5,6,49,46,990,7210318.0,6755282.0
Data Pipeline,E-commerce,Medium,Startup,25,8,36,187,8400,9986547.0,12097325.0
Web App,Manufacturing,Medium,Enterprise,28,9,5,191,9072,15572345.0,16900422.0
Mobile App,E-commerce,High,SMB,29,6,5,100,5394,12540379.0,14929681.0
AI Solution,Education,Low,SMB,15,5,49,39,2850,3494027.0,4221113.0
AI Solution,SaaS,Medium,SMB,23,6,49,105,5520,6895483.0,8283725.0
Mobile App,E-commerce,Low,SMB,27,4,43,198,4428,8368471.0,7750282.0
Mobile App,E-commerce,Low,Startup,23,7,46,84,5152,7077419.0,7782115.0
AI Solution,SaaS,High,SMB,9,13,47,70,3978,9665024.0,8846266.0
Data Pipeline,Manufacturing,Medium,Enterprise,7,12,36,68,3024,5907480.0,6749371.0
Mobile App,Education,Medium,Startup,28,7,33,116,6468,9690299.0,11615693.0
ERP,SaaS,High,SMB,28,4,42,125,4480,8976792.0,10968255.0
Web App,Healthcare,Medium,Startup,20,10,14,157,7600,10442098.0,11583986.0
Web App,Education,Medium,Startup,20,5,47,23,3000,3961008.0,4744044.0
AI Solution,Education,Medium,Startup,17,10,22,175,6970,7791826.0,8548693.0
Data Pipeline,FinTech,Medium,Startup,19,8,45,151,6536,9748187.0,9296419.0
Mobile App,Healthcare,Low,Enterprise,4,11,30,106,1716,6693764.0,7010022.0
Data Pipeline,Manufacturing,Medium,SMB,8,13,34,174,3744,8234615.0,9807153.0
Mobile App,Education,Low,Startup,21,4,11,190,2604,3063037.0,3760594.0
Mobile App,E-commerce,High,SMB,20,3,33,41,1860,6921459.0,7065821.0
AI Solution,Manufacturing,Low,SMB,22,8,13,192,6160,7601185.0,7942552.0
Mobile App,E-commerce,Medium,Startup,18,4,23,29,2952,5071330.0,4800388.0
Data Pipeline,E-commerce,High,Startup,29,5,8,198,4930,11602489.0,10563326.0
Web App,Education,Low,Startup,10,8,42,188,2800,8146104.0,7738666.0
Web App,FinTech,High,Enterprise,29,10,40,140,10440,29720478.0,35265357.0
Data Pipeline,E-commerce,Medium,Startup,28,13,31,179,16016,14530448.0,18012977.0
Web App,Healthcare,Low,Enterprise,9,9,43,113,3402,6954010.0,6931388.0
Data Pipeline,Healthcare,Medium,SMB,16,3,15,166,1536,4773495.0,4684154.0
Web App,FinTech,Medium,Enterprise,26,9,23,101,9594,22828489.0,21745901.0
AI Solution,Education,High,Startup,29,4,38,146,3712,8344112.0,8597164.0
ERP,E-commerce,Medium,Startup,15,8,26,104,4680,7408630.0,8171597.0
AI Solution,E-commerce,Medium,Startup,14,3,27,168,1596,3026794.0,3687856.0
AI Solution,Healthcare,Medium,Startup,9,12,13,128,4104,6893985.0,7284020.0
ERP,SaaS,High,Startup,12,3,29,77,1116,3628651.0,4385645.0
AI Solution,Manufacturing,Low,Startup,24,4,37,171,3072,5193609.0,5430299.0
Web App,Education,Low,SMB,14,3,29,163,1302,2255519.0,2537929.0
Web App,FinTech,Medium,Startup,19,13,44,165,7657,11737442.0,14310235.0
Web App,E-commerce,Low,Startup,28,5,22,107,4620,7014098.0,6623047.0
Data Pipeline,FinTech,Low,Startup,18,4,9,24,2376,4129930.0,5125994.0
Data Pipeline,Healthcare,Low,Startup,6,10,34,136,2400,2983489.0,3140457.0
ERP,SaaS,Low,SMB,23,8,6,75,7544,9041539.0,8368981.0
Mobile App,E-commerce,High,Startup,21,5,48,149,3990,8467042.0,8900152.0
Mobile App,E-commerce,Medium,SMB,8,4,26,78,1312,3004515.0,2800692.0
ERP,FinTech,Medium,SMB,17,2,23,121,1122,4870899.0,5149746.0
AI Solution,Healthcare,Medium,Enterprise,13,2,49,26,1040,4324565.0,5215017.0
Data Pipeline,Manufacturing,Medium,SMB,27,12,30,146,10368,37048306.0,44891986.0
AI Solution,E-commerce,High,Startup,10,10,49,148,4200,8666822.0,8161518.0
Data Pipeline,E-commerce,High,Startup,10,13,27,60,5200,9808938.0,9653372.0
Web App,E-commerce,Medium,SMB,8,4,39,135,1376,3044863.0,2862295.0
ERP,Healthcare,Medium,Enterprise,18,7,31,34,3906,13981167.0,12914226.0
Web App,Healthcare,Medium,Startup,23,2,17,20,1426,4194905.0,4387228.0
Data Pipeline,SaaS,Medium,Startup,25,3,21,120,3225,5264212.0,5702058.0
AI Solution,SaaS,High,SMB,20,12,21,99,9360,15557197.0,15193928.0
Web App,FinTech,Medium,Enterprise,19,4,45,184,2812,8343636.0,8635990.0
Mobile App,SaaS,Low,Startup,21,8,5,146,5040,5850725.0,7118527.0
AI Solution,FinTech,Medium,Startup,7,13,10,81,2821,12674443.0,12178527.0
Data Pipeline,FinTech,Medium,SMB,13,2,19,165,936,11110902.0,12397552.0
Mobile App,FinTech,High,Startup,21,12,33,168,9828,25854771.0,24725772.0
ERP,E-commerce,Low,Startup,20,2,28,147,1760,2957957.0,3411017.0
Data Pipeline,Manufacturing,High,Enterprise,22,10,46,117,6600,26165076.0,29198171.0
Web App,Manufacturing,High,SMB,26,4,48,54,3224,7214750.0,8762603.0
AI Solution,FinTech,Low,Enterprise,15,12,44,45,7380,14603816.0,13963086.0
ERP,SaaS,Low,Startup,17,14,8,97,8568,8883174.0,9509261.0
ERP,Manufacturing,Medium,SMB,4,7,10,165,980,4217294.0,3883007.0
Mobile App,FinTech,Low,Startup,28,6,6,74,6552,8774011.0,8497253.0
Mobile App,E-commerce,Medium,Startup,5,2,45,188,360,1678350.0,1558036.0
Web App,FinTech,Medium,SMB,9,8,14,90,2808,4729504.0,5632503.0
Mobile App,E-commerce,Low,Startup,15,9,20,60,5940,5937418.0,6307059.0
Mobile App,Healthcare,Medium,SMB,16,10,27,41,7040,9588249.0,10558370.0
Data Pipeline,Manufacturing,Low,SMB,17,9,37,164,5661,9439101.0,10578350.0
Web App,FinTech,Low,Enterprise,11,11,15,104,4114,9203997.0,8658640.0
Mobile App,Education,High,Startup,12,2,33,151,744,2247334.0,2752893.0
Data Pipeline,E-commerce,Medium,Startup,22,11,30,173,9438,10391861.0,12124428.0
Web App,Healthcare,Medium,Startup,15,2,7,126,900,3633256.0,3356984.0
ERP,SaaS,Medium,SMB,28,11,20,163,12012,16117742.0,17072282.0
Web App,Manufacturing,Medium,Startup,10,2,30,140,840,1829444.0,1991268.0
Mobile App,Manufacturing,High,Startup,29,13,37,32,16211,18931979.0,21968103.0
ERP,Healthcare,Low,Startup,16,8,21,67,5248,6864316.0,7243065.0
Mobile App,Education,Medium,Startup,15,14,10,119,7350,7408921.0,8252791.0
AI Solution,Manufacturing,Low,Enterprise,8,8,9,30,2816,4642257.0,4832642.0
AI Solution,SaaS,Low,SMB,11,6,15,185,2442,3658945.0,4160140.0
Mobile App,Education,Low,Startup,5,10,14,141,1500,1912360.0,1972878.0
ERP,Healthcare,Low,Startup,25,10,8,101,8500,9509342.0,11120276.0
Data Pipeline,E-commerce,Medium,Startup,15,10,6,27,5850,8364579.0,8030877.0
ERP,SaaS,Medium,SMB,19,7,25,105,4522,10387049.0,11718718.0
Mobile App,Manufacturing,High,Enterprise,25,13,14,138,13975,24770952.0,26198636.0
Mobile App,SaaS,Medium,SMB,10,9,37,37,3330,4668920.0,5596406.0
Mobile App,Manufacturing,High,Startup,13,11,29,94,5148,10174854.0,12506806.0
Web App,SaaS,Low,Startup,8,3,24,54,768,1434496.0,1603398.0
Data Pipeline,Manufacturing,Medium,Startup,23,2,15,183,1380,4286872.0,4333540.0
Data Pipeline,Manufacturing,Medium,SMB,25,2,16,43,1550,4550806.0,4628995.0
Data Pipeline,E-commerce,Medium,Enterprise,29,11,16,149,12760,25106149.0,24895150.0
Data Pipeline,Healthcare,High,Startup,26,9,13,51,10296,18558225.0,18801676.0
Data Pipeline,Manufacturing,Medium,Startup,10,9,32,179,2880,4679542.0,4966363.0
AI Solution,Education,Medium,Startup,24,14,49,187,14112,12305114.0,13264800.0
Data Pipeline,Healthcare,Low,SMB,8,2,32,28,656,1658137.0,1982886.0
Mobile App,Manufacturing,Low,SMB,16,11,18,94,6864,7745196.0,7837360.0
Data Pipeline,E-commerce,Low,SMB,9,6,33,102,1890,3201883.0,3224996.0
ERP,FinTech,Medium,Startup,8,4,13,80,1088,3291084.0,3665451.0
Web App,Manufacturing,Medium,SMB,16,3,19,47,1872,3922661.0,4306801.0
Mobile App,FinTech,Medium,Startup,6,11,43,109,1980,3942541.0,4456389.0
ERP,Healthcare,High,Startup,18,9,47,117,5832,14888531.0,14324966.0
AI Solution,Education,High,Startup,7,4,26,132,980,2681113.0,3217290.0
Data Pipeline,Education,High,Startup,26,7,24,170,7462,11284633.0,10728510.0
AI Solution,Manufacturing,Medium,Startup,7,5,24,71,1120,2674631.0,2972411.0
Mobile App,Healthcare,Medium,Enterprise,13,10,17,141,5070,10213382.0,10678257.0
Web App,Education,High,SMB,24,2,13,164,1632,5014366.0,4639719.0
AI Solution,E-commerce,Medium,Startup,17,9,37,62,4590,10367439.0,9665171.0
Mobile App,E-commerce,Medium,Enterprise,27,8,24,44,8856,17679511.0,16284827.0
AI Solution,FinTech,High,Startup,24,4,45,59,3072,8866486.0,10782539.0
ERP,SaaS,High,SMB,19,8,10,134,5168,31305810.0,28866294.0
Mobile App,Healthcare,High,SMB,18,3,40,38,1620,5431033.0,6235295.0
ERP,SaaS,Low,Startup,15,5,28,48,2850,3289777.0,3977158.0
AI Solution,Education,Low,Enterprise,14,4,27,148,2464,7672508.0,8041113.0
AI Solution,E-commerce,Medium,SMB,24,2,49,148,1872,6732755.0,7211178.0
AI Solution,Education,High,Startup,21,13,12,73,12012,14820639.0,15810872.0
Web App,E-commerce,Medium,Startup,22,4,22,152,3784,5316977.0,5698602.0
ERP,Healthcare,Medium,SMB,26,5,42,74,4290,9143045.0,11227081.0
Mobile App,SaaS,Medium,Startup,15,8,22,93,5280,6421886.0,6393851.0
AI Solution,Education,Medium,SMB,5,7,42,64,1365,2757150.0,2639841.0
Data Pipeline,Healthcare,Medium,Enterprise,25,11,7,95,11550,18222909.0,21753682.0
Web App,Education,Low,SMB,13,10,31,40,4810,5189312.0,5560065.0
Data Pipeline,Manufacturing,Medium,Startup,28,9,17,87,10836,12370651.0,13839736.0
AI Solution,FinTech,Medium,Startup,23,3,32,190,2760,6204099.0,6985222.0
Mobile App,Education,Medium,SMB,10,14,45,76,4760,6354844.0,6914678.0
Data Pipeline,E-commerce,Medium,Startup,14,8,14,125,3696,7517923.0,8418062.0
Web App,Education,Medium,Startup,28,13,11,58,10920,14693314.0,14896926.0
Mobile App,Manufacturing,Medium,SMB,20,14,12,184,8400,12446023.0,15359524.0
Data Pipeline,SaaS,Medium,Startup,13,11,48,101,5148,7162305.0,6736946.0
Data Pipeline,FinTech,Low,Enterprise,24,8,49,167,7104,12851657.0,14840960.0
Mobile App,SaaS,Low,Startup,5,6,19,173,1320,1479993.0,1738754.0
ERP,Manufacturing,Low,Startup,23,12,37,121,10764,9420579.0,10417137.0
Mobile App,E-commerce,Low,SMB,4,4,39,178,656,1318207.0,1623439.0
AI Solution,Healthcare,High,SMB,13,6,13,21,2418,7352152.0,8228523.0
Data Pipeline,FinTech,Medium,Enterprise,6,11,9,109,2310,7172691.0,8633903.0
Data Pipeline,E-commerce,High,Enterprise,27,8,47,168,6696,21132784.0,22811967.0
Web App,E-commerce,Medium,SMB,10,7,25,134,2450,11163193.0,11985221.0
Web App,SaaS,Medium,Startup,29,11,33,99,10527,13627422.0,13957666.0
Data Pipeline,Manufacturing,Low,SMB,17,6,37,92,3876,12678607.0,12836561.0
ERP,SaaS,Medium,Startup,7,10,31,77,3010,3553883.0,4317033.0
Mobile App,Education,Medium,Startup,9,14,10,72,3906,5140016.0,5130527.0
ERP,Education,Medium,Startup,4,6,49,124,1056,2360198.0,2392816.0
Data Pipeline,Healthcare,Medium,Startup,13,4,28,47,1716,4047965.0,4653563.0
Web App,Healthcare,Medium,SMB,22,5,47,88,3520,9362800.0,11465118.0
AI Solution,E-commerce,Low,Enterprise,4,6,19,21,912,2893313.0,2878367.0
ERP,SaaS,Medium,Startup,19,7,40,99,5187,7240321.0,7737782.0
Data Pipeline,Education,High,SMB,7,5,22,197,1330,2673063.0,3274176.0
Data Pipeline,Manufacturing,Low,SMB,22,10,35,68,7480,10953542.0,12620986.0
Mobile App,E-commerce,Medium,Startup,22,12,41,101,8712,12352073.0,13830385.0
Web App,Healthcare,High,Enterprise,20,6,49,125,4560,12808580.0,14531603.0
Data Pipeline,SaaS,Low,Startup,9,9,46,176,3564,3697185.0,3531551.0
AI Solution,Manufacturing,High,Enterprise,13,7,49,125,2821,22030451.0,26767211.0
Web App,Education,Low,Startup,5,13,9,137,2210,2385129.0,2680441.0
Mobile App,Education,Medium,Startup,12,11,6,81,4224,6711848.0,6124770.0
Web App,Healthcare,Low,Startup,15,3,36,96,1935,3846352.0,4234942.0
Mobile App,SaaS,Medium,Startup,25,8,7,160,6400,10411310.0,10021308.0
Mobile App,FinTech,High,SMB,5,12,43,117,2340,11136166.0,12609694.0
Mobile App,E-commerce,Medium,Startup,11,3,13,134,1089,2426398.0,3011429.0
AI Solution,E-commerce,Low,SMB,22,3,46,176,2376,4507948.0,5118266.0
Mobile App,Education,Medium,SMB,24,6,30,152,5040,11370740.0,11254333.0
Data Pipeline,Manufacturing,High,SMB,4,11,5,185,1364,4489987.0,4420976.0
AI Solution,FinTech,Medium,Startup,26,14,10,169,12740,22518631.0,23386695.0
Mobile App,FinTech,Medium,SMB,24,8,13,98,6336,12462560.0,13463183.0
AI Solution,Healthcare,High,SMB,19,2,23,86,1178,6003461.0,6871807.0
ERP,SaaS,High,Startup,21,13,17,60,8463,14869499.0,15489182.0
AI Solution,Healthcare,Low,Startup,25,13,35,61,12350,11885510.0,13169962.0
Mobile App,Healthcare,Medium,Enterprise,29,14,7,97,15428,30535085.0,28545274.0
Data Pipeline,FinTech,Low,Enterprise,9,8,48,119,2952,7132963.0,6598803.0
ERP,Education,Low,SMB,26,6,13,104,6240,7502497.0,6886319.0
Data Pipeline,E-commerce,High,Startup,26,10,6,124,10400,15314919.0,19048777.0
Data Pipeline,SaaS,Medium,SMB,9,5,29,149,1710,3619895.0,3639998.0
AI Solution,SaaS,High,SMB,28,10,39,95,12040,18734946.0,17995199.0
AI Solution,Education,High,SMB,27,9,37,197,8019,22410286.0,21204872.0
ERP,FinTech,Low,Startup,21,14,36,34,9702,13660389.0,13276112.0
Mobile App,FinTech,Medium,SMB,8,13,20,48,3744,6760257.0,7883668.0
Web App,E-commerce,High,SMB,23,4,43,96,2852,7988251.0,8672927.0
Web App,SaaS,Medium,Enterprise,9,4,41,53,1188,3046345.0,3662002.0
Mobile App,SaaS,Medium,Startup,19,8,20,35,5624,6458885.0,7187495.0
Web App,FinTech,Medium,Startup,28,3,13,111,2856,5853840.0,6492581.0
Web App,SaaS,Low,SMB,18,14,30,140,10836,9835160.0,10590640.0
AI Solution,SaaS,Low,Startup,11,5,28,128,2420,3277200.0,3401535.0
Mobile App,SaaS,Medium,SMB,11,5,46,105,1760,3864989.0,3676920.0
Web App,Education,Medium,Startup,18,12,41,184,9504,9719254.0,9855586.0
ERP,Education,Medium,Startup,29,4,15,175,4292,7852886.0,7646717.0
Mobile App,Manufacturing,Medium,SMB,6,12,48,86,2448,4010793.0,4659044.0
Mobile App,E-commerce,High,SMB,24,13,48,69,11232,20062618.0,21754643.0
AI Solution,E-commerce,Low,Startup,4,9,21,62,1584,2012412.0,2364084.0
Data Pipeline,Healthcare,Medium,SMB,20,8,34,175,6880,8825597.0,9925722.0
AI Solution,Healthcare,Low,Startup,9,3,44,66,1188,2761361.0,2623227.0
Web App,E-commerce,Low,SMB,26,6,38,158,5460,7254076.0,7675400.0
Mobile App,Education,Low,SMB,16,6,12,151,3840,4541150.0,4749867.0
Mobile App,FinTech,Medium,Startup,11,13,43,122,5863,6625969.0,8069412.0
ERP,FinTech,Medium,Enterprise,6,13,35,130,3042,8774142.0,9476908.0
Data Pipeline,Manufacturing,Low,SMB,12,4,22,60,2016,3163403.0,3368394.0
AI Solution,Healthcare,Medium,SMB,24,12,18,180,11232,16952363.0,18061101.0
Mobile App,Education,High,Startup,11,13,33,142,6149,8759219.0,8336857.0
ERP,SaaS,Medium,SMB,9,13,44,166,4680,5530219.0,6564174.0
Web App,Manufacturing,Medium,Startup,12,9,27,182,3348,6658026.0,6255338.0
ERP,Manufacturing,Low,SMB,17,7,15,195,4403,5768052.0,5948401.0
Data Pipeline,E-commerce,Low,Startup,18,13,21,180,10296,8694345.0,9631959.0
Web App,SaaS,Medium,Startup,8,11,10,134,3344,5780652.0,5777178.0
Web App,E-commerce,Medium,Enterprise,20,2,29,30,1720,5487737.0,5362128.0
Web App,Manufacturing,Medium,Startup,27,4,17,199,4752,7373875.0,6953463.0
Data Pipeline,E-commerce,Medium,Startup,10,13,11,147,5200,6909275.0,7180961.0
Web App,Healthcare,High,SMB,7,10,28,191,2100,6526177.0,6273717.0
Web App,Education,High,SMB,26,9,36,131,10062,21462496.0,19683874.0
AI Solution,Manufacturing,Medium,SMB,28,4,39,66,4032,7711185.0,8764380.0
Mobile App,Manufacturing,Low,SMB,4,2,46,131,344,1199431.0,1134659.0
Web App,E-commerce,Medium,SMB,19,2,20,38,1406,4105967.0,3794068.0
Mobile App,Education,Low,Startup,18,10,43,189,7380,5956593.0,6762512.0
ERP,E-commerce,Low,Startup,27,7,9,163,6993,9783217.0,9587362.0
Mobile App,FinTech,Medium,SMB,23,6,27,156,5382,7967557.0,9881493.0
AI Solution,Education,Low,SMB,21,3,15,137,2331,3157961.0,3875379.0
Mobile App,FinTech,Low,SMB,27,8,29,150,8640,11239839.0,11174721.0
Web App,E-commerce,Low,Enterprise,21,14,48,81,11760,17061787.0,18253269.0
AI Solution,FinTech,Medium,Enterprise,8,2,44,123,560,3816880.0,4203905.0
AI Solution,Manufacturing,Low,Startup,23,12,43,196,8280,9810231.0,11337245.0
ERP,SaaS,Low,Startup,28,8,46,112,9632,7844143.0,9674694.0
AI Solution,Education,Medium,Enterprise,26,4,46,186,3848,8941030.0,9386478.0
Data Pipeline,Healthcare,Low,SMB,5,8,8,94,1680,3248316.0,2954174.0
ERP,Education,High,Startup,16,6,6,60,4128,7066729.0,6557923.0
AI Solution,Manufacturing,Medium,Startup,5,4,8,89,600,2479150.0,2266591.0
Web App,FinTech,Medium,Startup,14,2,5,96,952,4237473.0,4657147.0
Data Pipeline,Education,High,Startup,25,14,29,21,12600,16116362.0,19300876.0
Data Pipeline,FinTech,Medium,SMB,4,9,40,100,1224,3438684.0,3766899.0
AI Solution,FinTech,Medium,Enterprise,25,13,14,169,13975,23909818.0,27326560.0
Web App,Manufacturing,Medium,Startup,20,4,18,31,3280,5237854.0,5426663.0
ERP,E-commerce,Medium,SMB,13,12,10,119,5772,10312196.0,10505140.0
Data Pipeline,Manufacturing,Medium,SMB,12,9,29,144,4752,6180294.0,6703794.0
AI Solution,Healthcare,Medium,Enterprise,29,13,42,30,15457,25580389.0,30397864.0
Web App,SaaS,Medium,SMB,27,10,35,74,11340,13598765.0,13097896.0
AI Solution,E-commerce,Medium,Enterprise,13,7,11,162,2821,8251728.0,8457513.0
AI Solution,Healthcare,Low,Startup,8,12,5,53,3552,5294089.0,4956767.0
ERP,Education,Medium,Startup,4,9,18,55,1224,2414461.0,2458113.0
Data Pipeline,Manufacturing,Medium,SMB,17,2,15,198,1088,6704622.0,7404225.0
AI Solution,E-commerce,Low,SMB,17,13,46,113,8619,11376940.0,10911483.0
Mobile App,FinTech,Medium,SMB,23,12,13,41,8556,17001901.0,19467183.0
ERP,SaaS,Low,Startup,25,3,16,125,3000,3704926.0,4243457.0
Data Pipeline,FinTech,High,Enterprise,25,6,21,81,5550,16786704.0,17898376.0
Mobile App,E-commerce,High,Startup,7,6,8,96,1596,3028786.0,3593489.0
Mobile App,E-commerce,Medium,SMB,10,14,14,84,5460,11242640.0,12686049.0
Web App,Education,Medium,Enterprise,26,3,13,79,3276,5849086.0,6604988.0
Web App,Manufacturing,High,Enterprise,7,6,19,27,1638,3947444.0,4843731.0
ERP,E-commerce,Low,SMB,21,11,46,186,7161,9842830.0,11155579.0
ERP,Healthcare,Medium,Enterprise,17,2,38,80,1326,5761412.0,6127753.0
Web App,Education,High,Startup,14,2,38,160,1204,2525518.0,2715683.0
Web App,FinTech,Medium,Startup,21,6,10,49,5544,6585296.0,7846511.0
ERP,Education,High,Enterprise,12,7,27,53,3360,7739074.0,9461230.0
Mobile App,Education,High,Startup,21,14,19,72,12054,15405588.0,16929380.0
AI Solution,E-commerce,Low,Enterprise,24,3,14,117,2808,6101449.0,6832838.0
Data Pipeline,SaaS,Medium,Enterprise,18,8,21,38,6048,11366454.0,11136557.0
Web App,E-commerce,Medium,Startup,25,10,23,178,9750,11013606.0,12312781.0
Mobile App,FinTech,High,SMB,16,6,36,78,3648,9900865.0,9790693.0
Data Pipeline,FinTech,Low,Startup,7,4,14,194,1120,2423688.0,2565139.0
AI Solution,SaaS,Medium,SMB,23,3,35,77,2553,4566293.0,5255167.0
AI Solution,Education,Medium,SMB,15,7,21,164,4515,7196196.0,6581750.0
AI Solution,Education,Low,Startup,14,5,12,23,2800,4207579.0,4940499.0
ERP,Education,High,SMB,12,5,16,92,2520,5676543.0,5953518.0
Mobile App,E-commerce,Low,SMB,16,11,32,85,6864,8360425.0,8696953.0
ERP,FinTech,Medium,Startup,16,12,20,62,7104,11445488.0,11533375.0
AI Solution,SaaS,Low,Startup,20,4,37,49,3200,4760975.0,4726047.0
Web App,SaaS,Medium,SMB,23,11,42,193,9361,12860539.0,14075204.0
ERP,Manufacturing,Low,SMB,25,5,37,91,4750,7158750.0,7707240.0
Web App,Manufacturing,Low,Enterprise,18,2,26,150,1260,3272593.0,3493793.0
Mobile App,FinTech,High,Startup,28,12,15,132,11424,25583699.0,26647845.0
Data Pipeline,Education,Medium,Startup,12,11,45,186,5148,5005080.0,5737106.0
ERP,E-commerce,Medium,SMB,9,5,5,165,1980,3876928.0,4711352.0
ERP,Manufacturing,Medium,Startup,22,10,14,119,7260,13035296.0,12124860.0
ERP,SaaS,High,Startup,24,10,15,83,9120,14868811.0,14593627.0
Web App,Manufacturing,Low,SMB,11,6,9,124,2112,3749548.0,3516241.0
Mobile App,Manufacturing,Medium,SMB,28,11,48,33,12936,28426937.0,33583606.0
AI Solution,FinTech,Low,Startup,17,6,46,112,3060,5543406.0,5707038.0
ERP,SaaS,Medium,SMB,27,14,28,30,15120,29152177.0,28391255.0
Web App,FinTech,Low,Startup,8,14,22,194,3920,5792293.0,5268259.0
Mobile App,Manufacturing,Low,Startup,29,10,14,29,12180,10504904.0,11388515.0
Data Pipeline,Education,Medium,Startup,18,10,43,125,7560,7933498.0,8262246.0
AI Solution,Healthcare,Low,SMB,25,2,47,90,1550,4549588.0,4809632.0
Mobile App,E-commerce,High,SMB,10,10,17,150,3200,8100189.0,7499634.0
AI Solution,Manufacturing,Medium,Startup,23,4,37,175,4048,5839913.0,6130767.0
ERP,FinTech,Medium,SMB,29,3,32,144,3132,7715053.0,9188848.0
ERP,Healthcare,Low,SMB,15,4,23,168,2400,4693312.0,4713198.0
Mobile App,Education,Medium,Startup,7,13,49,80,3640,4348484.0,4447347.0
Web App,FinTech,Medium,SMB,6,12,29,165,2520,4845485.0,5513056.0
Data Pipeline,E-commerce,Medium,Startup,22,9,30,122,7722,9442694.0,9968973.0
